Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PE;RECIFE;POSTO LEAO DA ILHA LTDA; 00.672.715/0003-52;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;1055;;ILHA DO RETIRO;50830-000;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;PE;RECIFE;POSTO IBIZA LTDA; 03.281.744/0001-10;AVENIDA MANOEL GONCALVES DA LUZ;70;;BONGI;50751-200;DIESEL S10;01/07/2026;6,99;;R$ / litro;BRANCA
NE;PE;RECIFE;POSTO LEAO DA ILHA LTDA; 00.672.715/0001-90;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;125;0;MADALENA;50750-360;DIESEL S10;01/07/2026;6,99;;R$ / litro;RAIZEN
NE;PE;RECIFE;POSTO ABASTECIMENTO SAO JOSE LTDA; 10.544.641/0001-60;RUA IMPERIAL;457;0;SÃO JOSÉ;50090-000;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;PE;RECIFE;NORTE BRAZ LTDA; 24.278.624/0005-67;RUA SAO BENTO;340;;AGUA FRIA;52120-040;DIESEL S10;01/07/2026;6,88;;R$ / litro;BRANCA
NE;PE;RECIFE;IGUEP INCORPORADORA GUEDES PEREIRA LTDA; 11.694.577/0004-00;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;1701;LOJA 0001;BONGI;50751-655;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;PE;RECIFE;IGUEP INCORPORADORA GUEDES PEREIRA LTDA; 11.694.577/0001-67;AVENIDA ENG ABDIAS DE CARVALHO;1142;;PRADO;50830-000;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;PE;RECIFE;TEREZINHA MOURA ANDRADE; 11.310.737/0001-27;LARGO DO MERCADO DO CORDEIRO;S/N;BOX 74/79;CORDEIRO;50630-040;DIESEL S10;01/07/2026;7,19;;R$ / litro;DISLUB
NE;PE;VITORIA DE SANTO ANTAO;PETROCAL PETROLEO CAVALCANTI LIMITADA; 12.781.233/0008-24;RODOVIA BR 232 KM 37/38;S/N;;LOTEAMENTO NOVA VITORIA;55602-000;DIESEL S10;01/07/2026;6,79;;R$ / litro;VIBRA
NE;PI;TERESINA;PN PETROLEO LTDA.; 06.331.431/0001-17;RUA MUNDINHO FERRAZ;3225;;SAO CRISTOVAO;64055-330;DIESEL S10;01/07/2026;7,39;;R$ / litro;BRANCA
